phi,d_rule,regime,mean_disagree,final,peak,compressibility,linear,biased_affine
0,204,commute,0.0,0.0,0.0,0.0144,True,False
1,205,crystalline,0.98872,1.0,1.0,0.0264,False,False
2,206,structured,0.19428000000000004,0.196,0.22000000000000003,0.14144,False,False
3,207,crystalline,0.98858,1.0,1.0,0.027840000000000004,False,False
4,200,commute,0.0,0.0,0.0,0.0144,False,False
5,201,crystalline,0.9085000000000001,0.9199999999999999,0.9199999999999999,0.05279999999999999,False,False
6,202,structured,0.22347999999999998,0.22600000000000003,0.28200000000000003,0.1608,False,False
7,203,structured,0.87584,0.8860000000000001,0.8859999999999999,0.19088,False,False
8,196,drain,0.00194,0.0,0.194,0.026879999999999998,False,False
9,197,structured,0.8170999999999999,0.826,0.826,0.15231999999999998,False,False
10,198,structured,0.32126,0.328,0.372,0.21728,False,False
11,199,structured,0.8464,0.8560000000000001,0.8560000000000001,0.14096000000000003,False,False
12,192,crystalline,0.0012599999999999998,0.0,0.126,0.026879999999999998,False,False
13,193,drain,0.49426000000000003,0.4774,0.69,1.0088,False,False
14,194,drain,0.41861999999999994,0.42200000000000004,0.592,0.24976000000000004,False,False
15,195,crystalline,0.99,1.0,1.0,0.0176,False,True
16,220,structured,0.1786,0.18,0.22000000000000003,0.14752,False,False
17,221,crystalline,0.98858,1.0,1.0,0.02768,False,False
18,222,drain,0.39272,0.39640000000000003,0.548,0.9350400000000001,False,False
19,223,crystalline,0.9896600000000001,1.0,1.0,0.023039999999999998,False,False
20,216,structured,0.18264000000000002,0.18400000000000002,0.25,0.15984,False,False
21,217,structured,0.8759600000000001,0.8859999999999999,0.8860000000000001,0.18656,False,False
22,218,drain,0.44921999999999995,0.4394,0.5940000000000001,1.0088,False,False
23,219,crystalline,0.98884,1.0,1.0,0.025759999999999998,False,False
24,212,structured,0.42585999999999996,0.42800000000000005,0.54,0.25776,False,False
25,213,crystalline,0.7487000000000001,0.756,0.8300000000000001,0.05952,False,False
26,214,noisy,0.5124,0.5098,0.6260000000000001,1.00144,False,False
27,215,crystalline,0.98384,1.0,1.0,0.049280000000000004,False,False
28,208,structured,0.14772000000000002,0.148,0.2,0.184,False,False
29,209,structured,0.50844,0.518,0.5800000000000001,0.37616,False,False
30,210,noisy,0.49304000000000003,0.4896,0.5780000000000001,1.0088,False,False
31,211,structured,0.7606200000000001,0.77,0.77,0.29072,False,False
32,236,crystalline,0.00126,0.0,0.126,0.025279999999999997,False,False
33,237,drain,0.67536,0.664,0.8320000000000001,0.9068799999999999,False,False
34,238,structured,0.25246,0.25400000000000006,0.354,0.16704000000000002,False,False
35,239,structured,0.6533999999999999,0.6599999999999999,0.6599999999999999,0.3064,False,False
36,232,crystalline,0.00116,0.0,0.11600000000000002,0.024,False,False
37,233,drain,0.6010200000000001,0.6034,0.818,0.13472,False,False
38,234,structured,0.15012,0.15100000000000002,0.21200000000000002,0.14431999999999998,False,False
39,235,structured,0.63654,0.644,0.65,0.30832,False,False
40,228,drain,0.00404,0.0,0.254,0.04128,False,False
41,229,drain,0.52688,0.5109999999999999,0.7780000000000001,1.0088,False,False
42,230,structured,0.31806,0.32599999999999996,0.40199999999999997,0.28400000000000003,False,False
43,231,structured,0.5641399999999999,0.572,0.608,0.25792000000000004,False,False
44,224,crystalline,0.00224,0.0,0.138,0.03936,False,False
45,225,drain,0.49833999999999995,0.4906,0.68,1.0088,False,False
46,226,structured,0.3564,0.368,0.41600000000000004,0.34384,False,False
47,227,structured,0.5554800000000001,0.5672,0.604,0.14432,False,False
48,252,structured,0.23678000000000005,0.23800000000000004,0.354,0.16784,False,False
49,253,structured,0.6613199999999999,0.6679999999999999,0.6679999999999999,0.29552,False,False
50,254,drain,0.5495199999999999,0.5559999999999999,0.764,0.10432000000000001,False,False
51,255,crystalline,0.99,1.0,1.0,0.0176,False,True
52,248,structured,0.13132000000000002,0.13200000000000003,0.19,0.1432,False,False
53,249,structured,0.6481399999999999,0.656,0.66,0.29823999999999995,False,False
54,250,structured,0.5144,0.5756,0.64,0.78688,False,False
55,251,crystalline,0.8941200000000002,0.9039999999999999,0.9040000000000001,0.04528,False,False
56,244,structured,0.41328,0.41079999999999994,0.488,0.16352,False,False
57,245,structured,0.55604,0.5630000000000001,0.604,0.35024,False,False
58,246,crystalline,0.32675999999999994,0.328,0.40599999999999997,0.07071999999999999,False,False
59,247,crystalline,0.5524199999999999,0.558,0.558,0.03935999999999999,False,False
60,240,commute,0.0,0.0,0.0,0.0144,True,False
61,241,structured,0.46372,0.4779999999999999,0.506,0.34048,False,False
62,242,structured,0.3995399999999999,0.40700000000000003,0.45599999999999996,0.55088,False,False
63,243,crystalline,0.4722200000000001,0.47800000000000004,0.4779999999999999,0.04479999999999999,False,False
64,140,drain,0.00194,0.0,0.194,0.02672,False,False
65,141,structured,0.8366,0.8459999999999999,0.8460000000000001,0.14223999999999998,False,False
66,142,structured,0.45070000000000005,0.45600000000000007,0.566,0.2656,False,False
67,143,crystalline,0.7583199999999999,0.766,0.818,0.05808,False,False
68,136,crystalline,0.0012599999999999998,0.0,0.126,0.0264,False,False
69,137,drain,0.49078,0.4772,0.7060000000000001,1.0088,False,False
70,138,structured,0.12566,0.124,0.20400000000000001,0.18256,False,False
71,139,structured,0.50692,0.5132,0.56,0.34256000000000003,False,False
