n,A,B,h,observation,initial_states,action_words,noncommuting_states,sum_prepared_hamming,different_sets,equal_sets,unequal_sizes,equal_size_different_sets,AB_strict_subset_BA,BA_strict_subset_AB,incomparable_sets,changed_response_maps,equal_sets_different_maps,different_prepared_equal_sets,different_word_endpoints,sum_repertoire_AB,sum_repertoire_BA,min_repertoire_AB,max_repertoire_AB,min_repertoire_BA,max_repertoire_BA,mean_jaccard_distance
6,0,170,3,identity,64,8,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,170,3,population_count,64,8,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,170,4,identity,64,16,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,170,4,population_count,64,16,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,170,5,identity,64,32,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,170,5,population_count,64,32,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,170,6,identity,64,64,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,170,6,population_count,64,64,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,0,identity,64,1,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,0,population_count,64,1,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,1,identity,64,2,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,1,population_count,64,2,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,2,identity,64,4,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,2,population_count,64,4,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,3,identity,64,8,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
